amiiboSeries,character,gameSeries,head,image,name,release,tail,type
Super Smash Bros.,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-00000002.png,Mario,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",2,Figure
Super Mario Bros.,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-00340102.png,Mario,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",340102,Figure
Super Mario Bros.,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-003c0102.png,Mario - Gold Edition,"{'au': '2015-06-25', 'eu': None, 'jp': '2015-12-17', 'na': '2015-03-20'}",003c0102,Figure
Super Mario Bros.,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-003d0102.png,Mario - Silver Edition,"{'au': '2015-05-30', 'eu': None, 'jp': None, 'na': '2015-05-29'}",003d0102,Figure
Super Mario Bros.,Mario,Super Mario,300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000300-03a60102.png,Mario - Cat,"{'au': '2021-02-12', 'eu': '2021-02-12', 'jp': '2021-02-12', 'na': '2021-02-12'}",03a60102,Figure
8-bit Mario,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-02380602.png,8-Bit Mario Classic Color,"{'au': '2015-09-12', 'eu': '2015-11-09', 'jp': '2015-09-10', 'na': '2015-09-11'}",2380602,Figure
8-bit Mario,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-02390602.png,8-Bit Mario Modern Color,"{'au': '2015-10-24', 'eu': '2015-10-23', 'jp': '2015-09-10', 'na': '2015-09-11'}",2390602,Figure
Super Mario Bros.,Mario,Super Mario,0,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-03710102.png,Mario - Wedding,"{'au': '2017-10-27', 'eu': '2017-10-27', 'jp': '2017-10-27', 'na': '2017-10-27'}",3710102,Figure
Super Nintendo World,Mario,Super Mario,3,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000003-039bff02.png,Mario - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039bff02,Band
Super Smash Bros.,Mario,Super Mario,100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000100-00190002.png,Dr. Mario,"{'au': '2015-07-23', 'eu': '2015-07-17', 'jp': '2015-07-17', 'na': '2015-09-11'}",190002,Figure
Super Smash Bros.,Luigi,Super Mario,10000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00010000-000c0002.png,Luigi,"{'au': '2014-12-12', 'eu': '2014-12-19', 'jp': '2014-12-06', 'na': '2014-12-14'}",000c0002,Figure
Super Mario Bros.,Luigi,Super Mario,10000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00010000-00350102.png,Luigi,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",350102,Figure
Super Nintendo World,Luigi,Super Mario,10003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00010003-039cff02.png,Luigi - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039cff02,Band
